French,English
à mon avis, in my opinion
d'après moi, in my view
de mon point de vue, from my point of view
il me semble que, it seems to me that
je trouve que, I find that
je pense que, I think that
je dirais que, I would say that
je dois dire que, I must say that
à mon sens, in my view
quant à moi, as for me
pour ma part, for my part
non seulement..mais aussi, not only..but also
d'un côté, on the one hand
d'un autre côté, on the other hand
dans une certaine mesure, to some extent
de qui plus est, what's more
il s'agit de, it's about
ou bien..ou bien.., either..or
soit..soit.., either..or..
de toute façon, in any case
à juste titre, rightly
notamment, in particular
nul ne saurait nier que, no one could deny that
il va de soi que, it goes without saying that
voilà pourquoi, that's why
ainsi que, as well as
en fait, in fact
bref, anyway
tel que, such as
comme le dit le text, as the text says
au lieu de, instead of
sinon, otherwise
tandis que, whereas
cependant, however
toutefois, however
malgré, in spite of
en dépit de, in spite of
premièrement, firstly
deuxièmement, secondly
enfin, lastly
ça marche, got it
être dans la lune, to daydream
appeler un chat un chat, so say it as it is
comme le dit..., as the...says
je n'ai pas compris, I didn't understand
à l'avenir, in the future
quand, when
c'est à dire, that's to say
au lieu de, instead of
cependant, however
car, because
donc, therefore
ensuite, then
ou, or
parce que, because
comme, as
si, if
même si, even if
pendant, during
tout d'abord, first of all
pourtant, however
nier, to deny
je dois avouer que, I must admit that
quelque chose, something
quelqu'un, someone
tout le monde, everyone


